SWEET:humanAgriculture/Irrigation	irrigation	GCMD:a756fd6b-6208-4af0-ac56-6ee914fc4597	IRRIGATION	irrig		info(label-label,rdf(SWEET:humanAgriculture/Irrigation-irrigation,rdfs:label,(irrigation-irrigation)@en)-rdf(GCMD:a756fd6b-6208-4af0-ac56-6ee914fc4597-IRRIGATION,skos:prefLabel,(IRRIGATION-IRRIGATION)@en),stem)	
SWEET:humanAgriculture/Irrigation	irrigation	GCMD:a756fd6b-6208-4af0-ac56-6ee914fc4597	IRRIGATION	irrigation		info(label-label,rdf(SWEET:humanAgriculture/Irrigation-irrigation,rdfs:label,(irrigation-irrigation)@en)-rdf(GCMD:a756fd6b-6208-4af0-ac56-6ee914fc4597-IRRIGATION,skos:prefLabel,(IRRIGATION-IRRIGATION)@en),downcase)	
SWEET:humanAgriculture/Sericulture	sericulture	GCMD:06053150-d796-477b-b305-292442d658ed	SERICULTURE	sericultur		info(label-label,rdf(SWEET:humanAgriculture/Sericulture-sericulture,rdfs:label,(sericulture-sericulture)@en)-rdf(GCMD:06053150-d796-477b-b305-292442d658ed-SERICULTURE,skos:prefLabel,(SERICULTURE-SERICULTURE)@en),stem)	
SWEET:humanAgriculture/Sericulture	sericulture	GCMD:06053150-d796-477b-b305-292442d658ed	SERICULTURE	sericulture		info(label-label,rdf(SWEET:humanAgriculture/Sericulture-sericulture,rdfs:label,(sericulture-sericulture)@en)-rdf(GCMD:06053150-d796-477b-b305-292442d658ed-SERICULTURE,skos:prefLabel,(SERICULTURE-SERICULTURE)@en),downcase)	
SWEET:humanCommerce/FossilFuelBurning	fossil fuel burning	GCMD:edfbff1e-b24b-40b9-be54-e1823b4d7f49	FOSSIL FUEL BURNING	fossil fuel burn		info(label-label,rdf(SWEET:humanCommerce/FossilFuelBurning-fossil fuel burning,rdfs:label,(fossil fuel burning-fossil fuel burning)@en)-rdf(GCMD:edfbff1e-b24b-40b9-be54-e1823b4d7f49-FOSSIL FUEL BURNING,skos:prefLabel,(FOSSIL FUEL BURNING-FOSSIL FUEL BURNING)@en),stem)	
SWEET:humanCommerce/FossilFuelBurning	fossil fuel burning	GCMD:edfbff1e-b24b-40b9-be54-e1823b4d7f49	FOSSIL FUEL BURNING	fossil fuel burning		info(label-label,rdf(SWEET:humanCommerce/FossilFuelBurning-fossil fuel burning,rdfs:label,(fossil fuel burning-fossil fuel burning)@en)-rdf(GCMD:edfbff1e-b24b-40b9-be54-e1823b4d7f49-FOSSIL FUEL BURNING,skos:prefLabel,(FOSSIL FUEL BURNING-FOSSIL FUEL BURNING)@en),downcase)	
SWEET:humanCommerce/Industrialization	industrialization	GCMD:92d8968b-617e-433d-ab9b-e269497c3f43	INDUSTRIALIZATION	industri		info(label-label,rdf(SWEET:humanCommerce/Industrialization-industrialization,rdfs:label,(industrialization-industrialization)@en)-rdf(GCMD:92d8968b-617e-433d-ab9b-e269497c3f43-INDUSTRIALIZATION,skos:prefLabel,(INDUSTRIALIZATION-INDUSTRIALIZATION)@en),stem)	
SWEET:humanCommerce/Industrialization	industrialization	GCMD:92d8968b-617e-433d-ab9b-e269497c3f43	INDUSTRIALIZATION	industrialization		info(label-label,rdf(SWEET:humanCommerce/Industrialization-industrialization,rdfs:label,(industrialization-industrialization)@en)-rdf(GCMD:92d8968b-617e-433d-ab9b-e269497c3f43-INDUSTRIALIZATION,skos:prefLabel,(INDUSTRIALIZATION-INDUSTRIALIZATION)@en),downcase)	
SWEET:humanCommerce/SustainableDevelopment	sustainable development	GCMD:8d11c81c-ff5b-4cc0-9be2-8e73dddcb51b	SUSTAINABLE DEVELOPMENT	sustainable develop		info(label-label,rdf(SWEET:humanCommerce/SustainableDevelopment-sustainable development,rdfs:label,(sustainable development-sustainable development)@en)-rdf(GCMD:8d11c81c-ff5b-4cc0-9be2-8e73dddcb51b-SUSTAINABLE DEVELOPMENT,skos:prefLabel,(SUSTAINABLE DEVELOPMENT-SUSTAINABLE DEVELOPMENT)@en),stem)	
SWEET:humanCommerce/SustainableDevelopment	sustainable development	GCMD:8d11c81c-ff5b-4cc0-9be2-8e73dddcb51b	SUSTAINABLE DEVELOPMENT	sustainable development		info(label-label,rdf(SWEET:humanCommerce/SustainableDevelopment-sustainable development,rdfs:label,(sustainable development-sustainable development)@en)-rdf(GCMD:8d11c81c-ff5b-4cc0-9be2-8e73dddcb51b-SUSTAINABLE DEVELOPMENT,skos:prefLabel,(SUSTAINABLE DEVELOPMENT-SUSTAINABLE DEVELOPMENT)@en),downcase)	
